id language subject_name
e0001 english arnold
e0002 english bush
e0003 english caine
e0004 english cruise
e0005 english daniel
e0006 english denzel
e0007 english hanks
e0008 english liam
e0009 english matthew
e00010 english morgan
e00011 english obama
e00012 english owen
e00013 english pacino
e00014 english seth
e00015 english trump
h0001 hindi ad
h0002 hindi amir
h0003 hindi amitabh
h0004 hindi amrish
h0005 hindi baba
h0006 hindi dilip
h0007 hindi fahran
h0008 hindi irfan
h0009 hindi khailash
h00010 hindi modi
h00011 hindi nana
h00012 hindi nawaz
h00013 hindi ranbir
h00014 hindi salman
h00015 hindi sharuk
t0001 telugu ambati
t0002 telugu chiru
t0003 telugu jagan
t0004 telugu jp
t0005 telugu kcr
t0006 telugu kiran
t0007 telugu lakshmi
t0008 telugu mahesh
t0009 telugu mohan
t00010 telugu nbk
t00011 telugu ncb
t00012 telugu posani
t00013 telugu prakash
t00014 telugu rao
t00015 telugu rosaiah
